state,1,2,3,4,5,6,7
0,4484219,4832916,2824729,1381877,3934559,4437969,1287527
0,4470537,4801224,2826903,1328558,3809410,4271677,1228901
0,4603383,4930622,2947838,1447080,4000225,4479683,1323667
0,4734301,5075084,3054380,1461060,4145024,4621422,1321097
0,4610318,4922113,2985427,1414246,4089238,4626143,1301331
0,5054480,5314023,3140339,1501068,4387538,4858611,1365033
0,4745891,5117364,3090921,1359957,4154120,4598070,1262905
0,4683578,4966665,2994395,1346039,4028090,4523512,1256318
0,4654146,5011466,2983179,1400772,4103322,4589269,1309616
0,4611940,4962482,2916280,1364804,4022931,4472832,1277955
0,4539813,4879827,2873518,1372944,3983802,4490718,1266693
0,4923555,5248827,3111474,1559695,4277373,4708892,1418091
0,4259034,4538605,2654310,1273366,3638582,4066237,1194686
0,4376497,4730318,2885318,1322317,3871813,4316142,1221747
0,1047526,1141190,699756,261454,1005253,1143854,240153
0,8405653,9029596,5308492,2537507,7325090,8054403,2335855
0,4897387,5311805,3130925,1418691,4259049,4685082,1313146
0,1132036,1221338,693868,313633,1047648,1174079,268216
0,1193823,1287718,798979,434473,1007303,1158325,407545
0,7278149,7774793,4650394,2106627,6293850,6920821,1954524
0,4672072,5057943,3030635,1430710,4114635,4611581,1296155
0,4654865,5014781,2999970,1369081,4037019,4488158,1273902
0,4983353,5327739,3123958,1519698,4380902,4837082,1396971
0,5326027,5646588,3510238,1639875,4522676,5042953,1532967
0,1152332,1284219,713619,336430,1120778,1271647,297907
0,1210847,1316196,812120,432411,1029404,1188749,399591
0,1297786,1415599,766799,366003,1195535,1326209,311764
0,1064844,1159100,752722,362582,886943,1010760,352745
0,1089636,1165365,748793,372588,900386,1047989,355018
0,1046335,1131547,682376,267050,967900,1096056,240529
0,1127726,1246658,696894,301253,1038746,1163538,269389
0,1199027,1308788,804812,442108,997104,1127694,403603
0,1041262,1159851,656165,288178,994525,1101089,253193
0,1108442,1231472,688215,305002,1044443,1150435,280945
0,1162921,1259191,750493,400817,971898,1087188,375858
0,1102171,1230954,772202,375392,935065,1085796,364139
0,1203544,1299983,720984,347073,1089140,1185272,300250
0,1032957,1147858,636453,247424,967955,1102078,218444
0,1111094,1210223,733833,371209,960711,1068456,339987
0,1039099,1112277,709525,369093,869832,986089,353666
0,1003839,1093630,738036,344611,819061,956016,340466
0,1033662,1110454,599050,331557,973884,1055426,272931
0,1187291,1287738,803340,397631,1015899,1139319,375982
0,989677,1064027,581800,268189,915496,1042633,245399
0,1011783,1091308,626530,273505,917622,1057709,244148
0,1063346,1141385,616567,284631,987144,1094769,245442
0,1052672,1156863,643501,290335,1007925,1141879,269414
0,1086975,1161152,744334,391714,895409,1028319,354057
