state,frame.time_delta,frame.len,ip.proto,ip.len,ip.ttl,tcp.len,tcp.window_size,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport
1,0,1518,6,1500,32,1448,7240,80,3112,,
1,0.000001,70,6,52,32,0,65535,443,27268,,
1,0,167,6,149,32,97,7240,80,3112,,
1,0.000001,70,6,52,32,0,23168,443,54842,,
1,0.000002,470,6,452,32,400,65535,443,57618,,
1,0.000004,70,6,52,32,0,5792,59853,80,,
1,0,70,6,52,32,0,23168,443,4358,,
1,0.000003,70,6,52,32,0,30408,46383,443,,
1,0,470,6,452,32,400,65535,443,57874,,
1,0,70,6,52,32,0,23168,443,9615,,
1,0.000004,1284,6,1266,32,1214,23168,443,8944,,
1,0.000001,70,6,52,32,0,65535,443,60419,,
1,0,70,6,52,32,0,7240,80,5156,,
1,0.000001,70,6,52,32,0,31856,443,40443,,
1,-0.000001,1456,6,1438,32,1386,30408,15432,443,,
1,0.000002,70,6,52,32,0,31856,44854,443,,
1,0,70,6,52,32,0,65535,443,7146,,
1,0.000001,70,6,52,32,0,23168,443,48851,,
1,0.000004,70,6,52,32,0,31856,60347,443,,
1,0.000003,1518,6,1500,32,1448,7240,80,10386,,
1,0.000001,167,6,149,32,97,7240,80,10386,,
1,0,1298,6,1280,32,1228,5792,30984,80,,
1,0.000001,693,6,675,32,623,27512,3299,443,,
1,0,70,6,52,32,0,65535,36795,443,,
1,0.000002,878,6,860,32,808,65535,47495,443,,
1,0,70,6,52,32,0,8688,3112,80,,
1,0.000001,70,6,52,32,0,8688,23036,80,,
1,-0.000001,1284,6,1266,32,1214,23168,443,17081,,
1,0.000001,470,6,452,32,400,65535,443,31902,,
1,0.000001,70,6,52,32,0,31856,16561,443,,
1,0.000001,70,6,52,32,0,65535,443,1229,,
1,0.000001,74,6,56,32,0,5792,80,54930,,
1,0.000002,693,6,675,32,623,27512,62294,443,,
1,0,70,6,52,32,0,24616,1328,443,,
1,0.000001,70,6,52,32,0,65535,57874,443,,
1,0.000001,70,6,52,32,0,65535,38008,443,,
1,0.000004,1518,6,1500,32,1448,7240,80,6708,,
1,0.000001,70,6,52,32,0,23168,443,28284,,
1,0,167,6,149,32,97,7240,80,6708,,
1,0,470,6,452,32,400,65535,443,55421,,
1,0.000001,70,6,52,32,0,31856,443,15432,,
1,-0.000001,1439,6,1421,32,1369,23168,63377,443,,
1,0.000001,70,6,52,32,0,24616,46528,443,,
1,0,70,6,52,32,0,8688,56275,80,,
1,0.000001,70,6,52,32,0,65535,2716,443,,
1,0,70,6,52,32,0,65535,60419,443,,
1,0.000002,470,6,452,32,400,65535,443,56289,,
1,0.000001,70,6,52,32,0,31856,4225,443,,
1,0.000001,70,6,52,32,0,65535,7146,443,,
1,0.000001,70,6,52,32,0,8688,5156,80,,
1,0,993,6,975,32,923,30408,443,1381,,
1,0,70,6,52,32,0,23168,443,5413,,
1,0.000001,70,6,52,32,0,24616,49920,443,,
1,0.000001,70,6,52,32,0,24616,60039,443,,
1,0,70,6,52,32,0,23168,443,34893,,
1,0.000003,1518,6,1500,32,1448,7240,80,60408,,
1,0.000001,70,6,52,32,0,7240,80,48179,,
1,0,70,6,52,32,0,7240,80,30984,,
1,0.000001,167,6,149,32,97,7240,80,60408,,
