1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0,2345,3,0,1,12,1,11,2,0,0,0,0,3,0,10281,41,6529545108,2409,46,47,85406535492
0,2453,5,0,3,2,3,3,2,0,41,26,0,3,0,10041,38,6347686788,2619,27,28,87455901474
0,2219,0,0,0,0,0,0,0,0,0,0,0,3,0,8320,26,5286247564,2371,30,32,79783665434
0,2152,0,1,0,0,0,0,1,0,1,0,0,9,0,8808,30,5322056099,2113,28,28,75592787982
0,2675,0,5,0,12,0,0,2,0,0,0,0,0,0,9768,42,6082980758,2733,47,45,89220068560
0,2269,7,0,2,12,2,10,2,0,0,0,0,0,0,8909,37,5449965153,2213,40,42,84926810464
0,2027,7,6,4,105,4,10,0,0,0,0,0,0,0,8165,36,4987349662,2100,49,48,72818090020
0,2283,7,0,4,105,4,10,1,0,1,0,0,0,0,8774,28,5404655773,2217,33,33,80733087248
0,2314,18,0,8,5,7,105,1,0,0,0,0,0,0,9378,33,5667640693,2318,33,34,83918280630
0,3148,18,1,6,20,5,105,2,0,0,0,0,0,0,11782,42,7477270102,3249,46,46,1.05E+11
0,3101,18,0,6,49,5,105,0,0,0,0,0,0,0,11478,44,7019675440,2930,51,50,1.13E+11
0,2099,0,0,0,34,0,3,1,0,1,0,0,0,0,8398,41,5143824303,2101,41,38,75406005042
0,2284,0,0,0,9,0,18,2,0,0,0,0,0,0,8790,29,5547440549,2326,34,35,85036621162
0,2204,0,0,0,9,0,18,1,0,0,0,0,0,0,8420,30,5088232479,2157,47,48,79296205630
0,2101,14,3,4,3,2,50,1,0,0,0,0,0,0,9054,36,5593765739,2273,31,30,76374319712
0,2418,14,1,4,7,2,35,2,0,1,0,0,0,0,8412,24,5273290144,2216,47,49,89146045172
0,2799,14,6,4,23,2,35,1,0,0,0,0,0,0,10954,30,6704318975,2815,49,50,98550964638
0,2061,0,0,0,28,0,20,1,0,1,0,0,0,0,9779,30,6018918836,2308,47,45,80541080796
0,2650,2,0,2,12,2,20,2,0,0,0,0,0,0,8722,30,5416763532,2374,34,36,93764264632
0,2565,2,0,2,3,2,20,1,0,0,0,0,0,0,10072,36,6123174137,2732,45,44,82238953696
0,2015,4,0,4,8,4,3,0,0,0,0,0,0,0,8720,34,5315180757,1868,28,27,77573184090
0,2245,5,0,2,8,3,4,2,0,1,0,0,0,0,8369,28,5228868910,2422,36,38,81059032860
0,2803,7,1,3,7,3,20,1,0,0,0,0,0,0,11254,36,6855926852,2857,50,48,97642632170
0,3106,5,0,1,7,1,20,1,0,0,0,0,0,0,10737,38,6785328829,2974,49,49,1.10E+11
0,2184,2,3,1,12,0,19,0,0,0,0,0,0,0,8745,38,5417805344,2199,46,48,81693602808
0,2716,0,0,0,12,0,12,3,0,1,0,0,0,0,11827,49,7208041344,2769,35,35,1.04E+11
0,2674,0,6,0,16,0,11,0,0,0,0,0,0,0,9713,39,6216104290,2611,53,52,94439414664
0,2736,0,0,0,16,0,11,1,0,0,0,0,0,0,10871,35,6863815132,2760,35,35,1.02E+11
0,2620,2,1,0,23,2,4,0,0,1,0,0,0,0,9179,34,5757416621,2480,40,41,89237231052
0,2166,2,0,2,23,2,8,1,0,0,0,0,0,0,9077,35,5706839715,2199,40,40,83964030310
0,2435,2,0,2,36,2,8,1,0,0,0,0,0,0,9876,40,5966372573,2578,37,36,90318816056
0,2514,8,0,6,36,4,9,1,0,0,0,0,0,0,9612,27,5980858270,2609,42,39,87552052554
0,2695,8,0,4,7,4,8,3,0,1,0,0,0,0,10063,42,6161932614,2460,41,43,94999290464
0,2403,8,3,4,8,4,8,1,0,0,0,0,0,0,9971,41,6245606720,2523,42,44,87221080286
0,2406,0,0,0,6,0,5,1,0,0,0,0,1,0,9178,38,5611871930,2365,53,53,87902734728
