0,1,2,3,4,5,6,7
0,4856072,5158837,2983512,1437420,4115066,4524433,1313469
0,5069544,5415950,3239176,1530980,4444448,4889841,1404104
0,4772417,5147757,3065585,1437449,4246446,4771835,1318689
0,4678652,4997800,3005786,1349620,4064214,4565028,1254438
0,4976339,5353873,3189588,1468418,4400234,4878267,1351714
0,5236669,5592706,3330061,1506103,4572699,5047595,1380255
0,5246968,5603855,3343264,1539583,4606648,5132211,1433816
0,5559849,5911768,3536304,1784947,4777170,5226229,1638498
0,4961532,5328173,3130946,1423026,4366508,4887449,1331560
0,4902652,5212088,3133761,1499689,4234999,4751686,1365680
0,5039775,5337495,3168026,1473295,4381933,4764787,1371672
0,5296345,5592636,3259324,1596758,4581269,5022674,1458366
0,5214830,5574349,3291385,1539689,4527150,4973329,1437593
0,5355098,5655557,3312835,1596158,4712004,5194387,1491836
0,5055387,5391660,3196189,1519114,4371420,4862922,1409275
0,4673720,5031163,2948076,1396681,4123903,4644274,1305210
0,5090966,5486769,3237061,1511221,4513363,4937526,1374199
0,5263331,5598942,3331057,1644945,4444206,4873931,1538715
0,1214035,1309018,797806,423970,1026189,1188531,400098
0,1161805,1267813,741406,253685,1105272,1240048,229930
0,1127706,1220757,669377,306465,1047331,1190195,274596
0,1054494,1152747,768747,381327,929413,1060822,362455
0,1205577,1287477,816868,395415,990213,1138757,376583
0,1154047,1287797,697456,322736,1096871,1238139,285918
0,1322353,1400276,842869,430384,1068340,1170099,402640
0,1260159,1347260,841413,434975,1075558,1214978,407384
0,1106603,1172178,627294,278797,1018595,1166310,259747
0,1236378,1324818,774691,300205,1128089,1250835,265723
0,1315406,1388231,884813,426203,1076336,1218927,385079
0,1232662,1325721,716841,336783,1108647,1224473,298966
0,1257988,1341669,754835,328942,1139662,1265262,295017
0,1177076,1270106,819982,430635,970153,1120154,390191
0,1031846,1104646,614959,278271,958031,1061252,251122
0,1265724,1379347,845833,410116,1050853,1179993,389946
0,1108761,1222124,671329,333092,1060520,1174301,279846
0,6143470,6493450,3826834,1875532,5219512,5748619,1736765
0,1101629,1163851,635333,313727,997086,1122306,277257
0,1233639,1327936,865524,414845,1047885,1186732,378731
0,1141649,1249526,704980,289119,1064843,1193971,271632
0,1238619,1346833,861592,462797,1063673,1221945,424662
0,1104674,1205004,664340,293117,1033528,1171561,265649
0,1133663,1212717,756593,371335,963063,1097344,363302
0,1229782,1331241,744635,296224,1134272,1230625,285221
0,1353223,1416459,890017,408186,1075185,1182007,380739
0,1238188,1303488,739862,312531,1090422,1195764,295875
0,1396980,1467692,944668,437771,1143714,1252945,410487
0,1113496,1208309,683469,281760,1037605,1176825,252988
0,1369704,1436658,842903,450862,1103623,1225273,426319
0,1280461,1379031,742287,313038,1158703,1277689,289499
0,1344590,1449869,861954,453074,1133291,1242581,429388
0,1351769,1439740,868747,459731,1126278,1260509,424349
0,1235827,1291691,812224,408934,1006709,1131427,380615
0,1251738,1351018,731733,348579,1161061,1265383,308248
0,1312117,1401665,845787,431594,1087706,1210506,407396
0,1149224,1224537,772868,386641,942720,1095837,377859
0,1129810,1215565,680695,309211,1046984,1184798,274871
0,1104629,1220519,676934,279089,1065063,1204205,258078
0,1086714,1157478,626023,296342,997435,1112420,261478
0,1290142,1388438,847106,479547,1088643,1217716,426694
0,1271907,1380160,837089,432150,1107407,1260837,387169
0,1161775,1247050,642159,326365,1038841,1143196,298084
0,1202494,1283569,797960,382673,955961,1106904,351886
0,1304760,1401821,892073,416341,1069569,1223426,383672
