0,1,2,3,4,5,6,7
0,9946995,10629223,6391343,2962751,8687984,9546385,2751005
0,4711838,5030343,3006741,1471907,4113413,4602576,1341755
0,5139580,5478669,3160343,1508988,4432874,4909802,1409433
0,5313471,5676638,3469217,1698275,4540156,5006378,1545792
0,4892682,5178624,3053388,1471731,4238278,4706292,1377934
0,5137650,5521037,3181411,1513614,4534605,5019466,1412986
0,5200833,5567955,3283375,1511906,4595093,5068618,1412908
0,4996640,5303069,3261897,1458390,4391050,4910315,1324048
0,1129466,1255480,689145,287349,1084825,1221686,264087
0,1150744,1268238,762643,286212,1099452,1229772,268613
0,1052239,1155019,711496,365196,869076,1012280,360878
0,1144968,1229488,781971,369283,956085,1085319,348854
0,4218804,4476268,2583530,1304122,3681102,4116417,1200744
0,1260378,1357071,829032,428838,1064553,1193360,394872
0,1250374,1375956,858513,435304,1089953,1239744,409730
0,1157403,1272647,715951,304964,1085062,1264377,273934
0,1176553,1265825,692936,322437,1105984,1238351,281812
0,1333362,1424313,807175,346033,1216040,1312466,300094
0,1361876,1452028,818966,326434,1207919,1286904,298948
0,1168663,1261838,803608,411857,983373,1139202,372287
0,1333924,1424998,920473,446152,1101231,1218226,410985
0,1056594,1160899,651297,265056,993586,1103367,239740
0,1354189,1421586,869871,454782,1116675,1232323,428338
0,1272001,1350344,852935,407569,1029483,1143542,391770
0,1153101,1228041,694819,288757,1090756,1251563,265921
0,1287879,1393252,744040,314793,1163635,1279828,288795
0,1107073,1206971,772405,401546,971909,1122640,372784
0,992084,1102843,619634,226722,928082,1037603,217186
0,1110782,1176951,654753,324303,1034050,1141052,285319
0,1153167,1238669,701518,292884,1073648,1207013,270546
0,979499,1038984,667090,398315,788779,915238,368261
0,1138539,1247269,787371,372931,974469,1105449,351162
0,1097773,1164006,653211,304754,987444,1098354,282342
0,1223080,1313579,805289,425246,1042836,1170640,389038
0,1241310,1319839,792991,420239,999555,1129770,391774
0,1232368,1334023,826748,417319,1035462,1164723,403355
0,1102809,1223014,679997,277979,1038325,1175344,255352
0,1110339,1197006,644833,264842,1016310,1167474,248194
0,1032056,1082855,714939,380041,821889,954477,354749
0,1105061,1176435,668741,296803,995915,1130066,264537
0,1054440,1178010,653699,265065,1017084,1143401,240047
0,1073445,1177831,641672,313973,990729,1118686,269736
0,1010104,1090163,681211,354277,814256,941424,349011
0,1220876,1293213,784844,395262,1036950,1138616,372889
0,1091928,1149324,629201,294083,982014,1105631,270597
0,1197232,1256399,784978,373893,956755,1089187,350788
0,1256104,1341909,854359,412287,1061803,1201084,374433
0,1253329,1311131,798719,447307,1007341,1136031,408094
0,1009820,1086480,614875,308777,961608,1070553,268966
0,1080437,1180209,658708,288241,1032825,1170448,248997
0,1038509,1133002,744169,350849,881424,1010297,333213
0,1117011,1226375,700299,299391,1058489,1176934,287476
0,1065173,1177499,631326,271220,986858,1106755,242923
0,1063235,1183037,647555,291783,995034,1157709,248920
0,1071789,1147608,722369,378504,884567,1005138,353082
0,1078282,1189626,746594,373609,908561,1047457,356174
0,1023819,1129686,582224,303800,959800,1084977,260823
0,1249197,1351558,824838,424367,1030182,1166795,400605
0,1253605,1319753,821448,435354,1041492,1166632,394745
0,1188265,1265647,807660,424012,996621,1134886,394512
0,1038703,1136232,662005,284731,965746,1105315,261317
0,1123780,1211841,678568,305305,1043923,1159385,281273
0,1186811,1291844,777196,427405,1006067,1152842,383976
0,1179981,1259262,709918,325935,1076481,1206858,285512
0,1148473,1246946,690180,340204,1067882,1187989,314457
0,1126052,1234649,670766,310508,1057984,1203676,279109
0,1065441,1148790,667021,290332,972588,1110428,258855
0,1193796,1303074,753360,338963,1121485,1242711,302691
0,1048239,1131655,728044,376916,905129,1065369,350543
0,1235247,1325200,802590,430400,991542,1099175,386454
0,1263581,1369079,868784,451236,1086199,1212067,411020
0,1035052,1135734,725960,390681,908006,1071762,359581
0,1194437,1277118,798557,391816,998280,1123609,364399
0,1154536,1263236,780851,397139,932050,1080356,366165
0,1032670,1143582,617444,277231,967047,1095153,252214
0,1147003,1222691,695403,292202,1041833,1167919,265803
0,1093823,1218311,685390,260404,1046074,1176172,239639
0,1071348,1139657,651699,264452,971026,1100154,248916
0,1131714,1215753,705821,258932,1038983,1177426,238740
0,1090666,1203892,648879,316553,1072163,1188759,281044
0,1050491,1141100,714487,355735,888644,1039674,338550
0,1237107,1298432,816387,448066,1029234,1144246,408941
