0,1,2,3,4,5,6,7
0,4999952,5382802,3118765,1571510,4406167,4845284,1422483
0,5164659,5527218,3304740,1516232,4586609,5049355,1412450
0,5475324,5833626,3515084,1511886,4811912,5290870,1415219
0,5627885,5989040,3530062,1739406,4743397,5281150,1617258
0,5618640,6018584,3584556,1720368,4804446,5286414,1567116
0,5115841,5491225,3254512,1636358,4495828,5010540,1480586
0,5287712,5668227,3320923,1573609,4656067,5112446,1428781
0,5157209,5538728,3164563,1590770,4520057,4964061,1475303
0,5452998,5797853,3462465,1688018,4692018,5170181,1566672
0,5332543,5757629,3360242,1586952,4690419,5202592,1453735
0,5421263,5745608,3302423,1570092,4716011,5159411,1469744
0,5033650,5442515,3252467,1563811,4471879,4992117,1436129
0,5405394,5789308,3367804,1641487,4557749,5073519,1510129
0,5489033,5808604,3421357,1639327,4676623,5166996,1508481
0,5393563,5731629,3401557,1637463,4714533,5175898,1522111
0,4985122,5284011,3060041,1524831,4292106,4787634,1413342
0,5082214,5363735,3257657,1554317,4443804,4865127,1402350
0,4783972,5029212,2973123,1520366,4147228,4581086,1398847
0,5038409,5422990,3248114,1468921,4417455,4884522,1361886
0,4754072,5131089,3107314,1517122,4018814,4535246,1416230
0,5110794,5454837,3220611,1472099,4485004,4959986,1367406
0,5200146,5564159,3279374,1561902,4495708,4941436,1443770
0,5309165,5655308,3293365,1602680,4611117,5105816,1456926
0,4972634,5308162,3139997,1574297,4426531,4936052,1443374
0,5259446,5637758,3357139,1558731,4602618,5082674,1434718
0,4873063,5253101,3101802,1520112,4386023,4900169,1380811
0,5120949,5529954,3188006,1621160,4550374,4997118,1490240
0,1237359,1311010,820721,411181,995849,1135662,384378
0,1307716,1425120,850766,456212,1128539,1278184,430184
0,1063059,1159225,700286,394418,903401,1050656,364929
0,1057934,1133201,749894,356827,883575,991126,331588
0,981050,1080649,616105,267026,932044,1054110,244895
0,1000205,1094107,623037,261642,948576,1071865,246529
0,1047691,1125516,650372,267641,966000,1114113,240967
0,967184,1050036,583685,276293,919048,1021716,251933
0,1003750,1097459,650044,240618,945544,1047725,213632
0,1015717,1084346,681446,363207,829197,973930,343019
0,1225549,1293454,799345,427128,996723,1109600,395007
0,1239274,1313634,818105,428152,1026170,1151800,392186
0,1206751,1297552,817073,418457,1003505,1140295,392268
0,1244204,1344918,871217,416565,1062539,1202382,387078
0,1100331,1157551,753143,357377,899418,1020671,346516
0,1052185,1129610,644260,319275,983948,1118570,268246
0,1124065,1196086,632754,272745,983375,1106995,254965
0,1099667,1216712,697412,266445,1044227,1171026,240440
0,1009215,1082235,618480,217462,922707,1055699,210758
0,1091048,1193882,684441,257423,1040691,1171144,241133
0,1121316,1218836,667890,300244,1028200,1145333,260894
0,1172262,1266550,804179,414804,1007748,1174293,370673
0,1277150,1371341,872780,449069,1061814,1199447,411860
0,1295220,1347060,845569,454300,1058768,1185060,418299
0,1124897,1219781,691182,325114,1027909,1168049,291514
0,1215717,1304687,845786,420680,1031760,1169596,398604
0,1229986,1319226,857907,396246,1052123,1190077,374929
0,1154324,1250211,722075,313001,1074455,1213287,281562
0,1089233,1184507,654337,309057,1012262,1157663,284647
0,1111132,1222282,678391,276174,1034792,1187054,253119
0,1048766,1169264,711476,344631,893362,1045332,310192
0,1127153,1233270,670793,319470,1080849,1187347,280486
0,1080823,1160247,656366,293385,1000213,1120207,261099
0,1223078,1321365,832030,416159,1022925,1180391,392503
0,1306106,1396851,875965,414896,1079679,1221190,387855
0,1239180,1345329,804789,419989,1032174,1174206,399514
0,1117183,1209705,643834,310560,1039739,1170072,286483
0,1249007,1339284,844512,409154,1022012,1175601,395761
0,1226970,1336927,800809,417745,1014827,1137546,386595
0,1091017,1196851,687654,256950,998811,1134892,239787
0,1105780,1211148,662266,312085,1046394,1177497,277728
0,1125954,1217573,672096,297696,1044280,1157397,269915
0,993329,1081322,696209,349488,810153,948184,332173
0,1055232,1150595,629652,299516,996461,1135703,269888
0,1069977,1173613,659034,288703,1006257,1152689,254297
0,1184973,1284121,773729,424739,1008080,1131825,401348
0,1226946,1322455,833339,432729,1023948,1142919,395576
0,1301400,1376567,855194,430507,1027891,1149791,412825
0,1101819,1196558,704718,303596,1021150,1132121,281178
0,1230875,1342709,856442,420878,1031277,1164932,399669
0,1198271,1284996,823333,424610,977937,1098186,397354
0,1128108,1199823,670671,276543,1019816,1152747,246236
0,1145831,1239433,685392,314832,1062298,1164427,286050
0,1051512,1179492,649470,255795,986625,1108381,239134
0,1022792,1102887,684333,364379,832379,985162,349356
0,1119558,1218861,692673,315577,1022380,1146763,291784
0,1123917,1214616,682524,329528,1061965,1166895,291335
0,1180846,1259818,808927,417368,973612,1097951,392590
0,1241899,1325233,841697,377908,1006752,1116895,363267
0,1223519,1328074,815627,430008,1017288,1136702,411969
0,1077190,1176413,627931,319229,1017209,1139677,283044
0,1194800,1267145,800523,405676,992836,1121131,381617
0,1182853,1296476,783006,392683,985355,1124489,373320
0,1150580,1215053,669314,315043,1042267,1154310,277513
0,1093599,1197546,675580,270779,1022036,1144586,252308
0,1119953,1229430,691576,283543,1039970,1161376,264862
0,1073509,1160197,751958,362131,910156,1050498,347865
0,1129489,1192197,649455,288456,1017479,1150995,257932
0,1062147,1175184,683808,299896,991856,1116903,264366
0,1205593,1282041,792306,442455,1006023,1111222,403718
0,1018673,1118521,693749,358425,834994,969971,343779
0,1151257,1244880,746526,381719,927827,1052774,362787
0,1034502,1140459,654462,301280,967092,1093291,276310
0,1205705,1295668,813300,396454,999344,1105432,378198
0,1183671,1263257,803998,431715,1008299,1123068,404511
0,1080708,1178643,706803,275356,1027263,1149150,258779
0,1108877,1197827,669417,319303,1015776,1120021,277533
0,1120269,1199903,651583,307147,1035829,1171742,278173
0,1096414,1198742,770455,374250,921274,1060382,349176
0,1140040,1209681,660277,296133,1052276,1152039,269028
0,1147269,1225788,673915,277698,1038014,1153711,256871
0,1207761,1298209,812483,402446,991631,1108893,391630
0,1042915,1111407,723003,406045,854661,983137,369695
0,1259568,1339807,809692,428616,1000673,1124285,409749
0,991767,1124124,622212,274146,963971,1122657,240317
0,1180142,1254815,789129,445121,979402,1110790,400146
0,1157340,1278482,779738,437764,997541,1132816,403835
0,1096718,1182303,653008,263126,984838,1101212,244880
0,1075032,1202666,654921,293319,1043761,1169108,267758
0,1129902,1219079,654611,328488,1028237,1152124,274956
0,1115462,1203205,737046,412682,926722,1064277,385588
0,1125105,1204930,663759,289607,1001369,1128188,262196
0,1134669,1222273,669582,330912,1057810,1184802,289162
0,1192425,1268055,786198,410823,973214,1110579,383735
0,1026701,1124752,739447,350675,859122,997800,333960
