0,1,2,3,4,5,6,7
0,4316256,4655977,2763741,1202989,3850731,4291439,1094488
0,4317140,4689122,2750479,1182290,3903867,4388994,1096801
0,4631552,4929638,2952362,1371971,4004290,4488662,1276903
0,4539018,4936913,2871583,1402956,4030465,4506128,1311801
0,4715039,5076409,3010566,1476672,4153712,4668090,1376095
0,4577997,4888862,2858545,1447462,4003440,4424283,1328129
0,5045704,5402954,3251893,1561584,4462340,4928168,1413539
0,1059642,1154447,674056,302366,1014262,1146180,267057
0,1121495,1220636,684882,268827,1062417,1190101,257591
0,1082992,1178890,660639,290687,999663,1123285,264286
0,1056913,1145303,620512,283738,992394,1154033,258136
0,3980704,4262170,2511286,1240709,3454375,3861485,1152315
0,1117566,1208522,692180,264784,1036339,1146870,245439
0,1306482,1391113,860562,467267,1079830,1224708,432167
0,6905275,7381898,4431609,2078100,5935757,6575647,1933132
0,4559340,4887214,2969520,1474477,3875318,4357371,1370233
0,1063591,1150903,709548,388343,854210,984072,363672
0,8797934,9395326,5501979,2723893,7517430,8314157,2513933
0,5200987,5617255,3284321,1584793,4622580,5092083,1473190
0,5042848,5452774,3168398,1527489,4562738,5070844,1424676
0,4889941,5244265,3153471,1511728,4282355,4805296,1382971
0,4439588,4775248,2839444,1395574,3897034,4379612,1283098
0,1022687,1108076,702900,376398,879152,1026464,348671
0,1050683,1151159,671244,250140,972922,1111277,226773
0,1066621,1168322,740280,404971,908279,1050035,389436
0,1045520,1153160,660055,283071,985141,1111216,256477
0,1116722,1193484,682739,300506,1001044,1137467,279091
0,1347778,1462358,892396,431657,1164381,1303828,414559
0,1059368,1169836,668821,260779,1040066,1204048,243345
0,1179630,1254434,762532,409521,974786,1107992,384006
0,1060500,1135361,590914,297389,975247,1070877,270099
0,1179460,1250341,779032,407503,991062,1131335,387724
0,1038264,1135624,622266,252928,930229,1061242,238793
0,1100245,1164302,633628,278923,979895,1104321,258010
0,1149884,1273903,798377,397766,1001840,1164632,374680
0,1016476,1112699,617519,299531,974815,1101943,268803
0,1177675,1258409,740998,401615,964290,1102442,378825
0,1024827,1128577,634270,287334,982751,1114400,260295
0,1101028,1182444,732912,393254,916794,1075823,367815
