0,1,2,3,4,5,6,7
0,8413499,8984381,1536944,95799,6967925,3996843,95222
0,14440339,15420146,2631993,159684,11960805,6854583,159252
0,14475960,15460009,2639653,165985,11990083,6874503,160236
0,14527230,15511132,2647999,160896,12032382,6895671,160445
0,14505459,15488280,2645374,162288,12014048,6886019,161175
0,14524118,15510104,2647409,160948,12030235,6894876,160568
0,14504672,15488116,2644519,161443,12014744,6885511,160477
0,14514031,15497307,2646088,161030,12022014,6889381,160388
0,14519516,15502632,2646995,161467,12024213,6893292,160493
0,14450989,15428010,2634496,160360,11966874,6859191,159760
0,14502380,15486313,2645430,162790,12012383,6885099,161312
0,3853955,4115683,704013,43798,3192134,1831026,43566
0,3974280,4244217,725294,44791,3291435,1887643,44462
0,3978512,4248915,726253,44984,3295992,1889718,44601
0,3833431,4094041,699661,43238,3175716,1820843,42983
0,3988641,4258674,727867,44897,3302619,1894470,44658
0,3976669,4247027,725626,44816,3293881,1888988,44453
0,3926658,4198102,715394,43964,3248079,1853953,43785
0,3828124,4087582,699086,43844,3170484,1818696,43323
0,3980845,4251488,726396,44810,3297205,1890860,44558
0,3976329,4245909,725670,44748,3293170,1888612,44490
0,3790010,4046489,691488,42751,3138484,1800137,42489
0,3975783,4245844,725390,44634,3293313,1888581,44436
0,3965918,4234302,724522,45242,3284063,1884129,44994
0,3972862,4242638,725262,45351,3289778,1887171,44826
0,3828046,4087440,698562,43170,3169853,1818370,42908
0,3985405,4256264,727457,45221,3301753,1893332,44641
0,3980835,4251397,726367,44679,3297766,1890721,44502
0,3858046,4119580,704023,43527,3195514,1832760,43267
0,3940964,4208338,719354,44307,3264391,1871442,44138
0,3988016,4258815,728055,45169,3303470,1894448,44815
0,3988079,4258636,727562,44755,3303836,1893899,44586
0,3862845,4124491,705980,44254,3199575,1835522,44000
0,3980545,4250247,726252,44979,3297406,1890332,44505
0,3997907,4269245,729168,44851,3310836,1898815,44661
0,3963014,4232541,723234,44659,3282434,1882211,44369
0,3871454,4134029,706848,44104,3206203,1839383,43625
0,3971254,4240465,724465,44678,3288378,1885858,44426
0,3979444,4248818,726059,44690,3296134,1889921,44455
0,3858417,4120499,704262,43639,3197069,1833009,43257
0,3984742,4255131,726823,44694,3300991,1892355,44512
0,3987326,4258276,728407,45722,3302677,1894675,45200
0,3984891,4255423,727620,45449,3300485,1893256,44930
0,3977070,4245824,725589,44828,3294051,1889022,44509
0,3989534,4259876,728006,44937,3304316,1894827,44672
0,3987745,4257398,727595,44897,3303125,1893572,44659
0,3950018,4217549,720728,44563,3271996,1876124,44225
0,3996443,4268801,729330,44813,3311078,1898602,44660
0,3988175,4257267,727718,45448,3302682,1893991,44802
0,3980814,4250486,726153,44645,3297182,1890257,44454
0,3978079,4247506,725986,44996,3295730,1889764,44580
0,3987379,4257779,727729,45096,3303021,1893775,44672
0,3988995,4259103,727720,44952,3304192,1894859,44585
0,3971452,4241410,724745,44638,3289677,1886266,44467
0,3955026,4224294,722160,44905,3275585,1878990,44547
0,3985954,4257244,727419,44903,3302004,1893204,44635
0,3985596,4256296,727333,44891,3301962,1893667,44574
0,3965580,4234915,723683,44752,3284815,1883788,44442
0,3968214,4237651,724962,45685,3286566,1885839,45011
0,3988965,4258829,727836,44808,3303020,1894170,44674
0,3982651,4253578,727415,45414,3299417,1892132,44920
0,3954303,4221345,721426,44454,3274770,1877762,44296
0,3993373,4263624,728668,45029,3308162,1896858,44658
0,3982141,4251456,726413,44703,3297944,1890849,44490
0,3956382,4224895,721895,44706,3276782,1879266,44278
0,3996346,4267150,729132,44839,3309851,1897868,44690
0,3995949,4267797,729330,45180,3309796,1897503,44843
0,3966011,4236029,724568,45303,3284446,1885042,44963
0,3977644,4247766,725995,44711,3295247,1889489,44582
0,3985671,4255862,727242,44894,3300219,1892852,44620
0,3976397,4245435,725396,45003,3293339,1888428,44477
0,3988830,4260623,727872,44949,3304153,1894937,44659
0,3958684,4227703,722712,45004,3279156,1880596,44476
0,3975620,4244510,725186,44660,3292602,1887988,44423
0,4001088,4271196,729863,44893,3313161,1899987,44712
0,3960728,4228847,722563,44563,3279368,1880879,44324
0,3980780,4251293,726172,44725,3297889,1890863,44500
0,3982242,4252419,726985,45295,3298217,1891714,44865
0,3981924,4251772,726526,44753,3297867,1891218,44564
0,3968269,4236676,723975,44707,3286674,1884717,44405
0,3980784,4250761,726346,44721,3297336,1890377,44523
0,3961642,4229419,722782,44634,3281335,1881113,44358
0,3971184,4240738,724573,44684,3289286,1886160,44483
